"Species","Mobility","AFF.MO","AMBI","Fragilite","AFF.RO","Tube","Taille","GT","Position","worms_id","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"Euchone rosea","Peu mobile","I","II","Tres fragile","Meuble","1","TP","Suspensivore","Epifaune","130907","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Euchone","Euchone rosea"
"Euclymene spp.","Peu mobile","I","I","Tres fragile","Dur","1","PM","Deposivore","Endofaune","129347","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Euclymene",NA
"Elysia viridis",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","139686","Animalia","Mollusca","Gastropoda",NA,"Plakobranchidae","Elysia","Elysia viridis"
"Euclymene spp.","Fixe","I","III","Tres fragile","Indifferent","1","P","Detritivore","Endofaune","129347","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Euclymene",NA
"Euclymene spp.","Fixe","I","I","Tres fragile","Indifferent","1","PM","Detritivore","Interstice","129347","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Euclymene",NA
"Euclymene spp.","Peu mobile","I","I","Tres fragile","Meuble","1","PM","Deposivore","Endofaune","129347","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Euclymene",NA
"Euclymene spp.","Peu mobile","I","I","Tres fragile","Meuble","1","M","Deposivore","Endofaune","129347","Animalia","Annelida","Polychaeta",NA,"Maldanidae","Euclymene",NA
"Eulalia spp.","Mobile","II","II","Peu fragile","Dur","0","PM","Predateur","Interstice","129445","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eulalia",NA
"Ensis magnus",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","160539","Animalia","Mollusca","Bivalvia","Adapedonta","Pharidae","Ensis","Ensis magnus"
"Eumida parva","Mobile","II","II","Peu fragile","Dur","0","P","Predateur","Interstice","182818","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eumida","Eumida parva"
"Eulima bilineata","Peu mobile","I","I","Pas fragile","Meuble","0","P","Parasitique","Interstice","139800","Animalia","Mollusca","Gastropoda","Littorinimorpha","Eulimidae","Eulima","Eulima bilineata"
"Eumida spp.","Mobile","II","II","Peu fragile","Indifferent","0","PM","Predateur","Interstice","129446","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eumida",NA
"Eubranchus",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","137954","Animalia","Mollusca","Gastropoda","Nudibranchia","Eubranchidae","Eubranchus",NA
"Eunice","Mobile","II","II","Peu fragile","Indifferent","1","M","Omnivore","Endofaune","129278","Animalia","Annelida","Polychaeta","Eunicida","Eunicidae","Eunice",NA
"Euchone",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","129528","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Euchone",NA
"Eunice vittata","Mobile","I","II","Peu fragile","Dur","1","PM","Omnivore","Interstice","130067","Animalia","Annelida","Polychaeta","Eunicida","Eunicidae","Eunice","Eunice vittata"
"Eunice vittata","Mobile","II","II","Peu fragile","Indifferent","1","P","Omnivore","Interstice","130067","Animalia","Annelida","Polychaeta","Eunicida","Eunicidae","Eunice","Eunice vittata"
"Eunicidae","Mobile","II","II","Peu fragile","Indifferent","1","M","Predateur","Interstice","966","Animalia","Annelida","Polychaeta","Eunicida","Eunicidae",NA,NA
"Euphrosine foliosa","Mobile","II","I","Peu fragile","Indifferent","0","TP","Predateur","Epifaune","130083","Animalia","Annelida","Polychaeta","Amphinomida","Euphrosinidae","Euphrosine","Euphrosine foliosa"
"Euphrosine borealis","Mobile","I","I","Peu fragile","Indifferent","0","P","Predateur","Epifaune","130081","Animalia","Annelida","Polychaeta","Amphinomida","Euphrosinidae","Euphrosine","Euphrosine borealis"
"Euphrosine foliosa","Mobile","II","I","Peu fragile","Indifferent","0","P","Predateur","Epifaune","130083","Animalia","Annelida","Polychaeta","Amphinomida","Euphrosinidae","Euphrosine","Euphrosine foliosa"
"Eupolymnia","Peu mobile","III","III","Tres fragile","Indifferent","1","M","Deposivore","Interstice","129693","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Eupolymnia",NA
"Eupolymnia nebulosa","Peu mobile","III","III","Tres fragile","Indifferent","1","M","Deposivore","Interstice","131489","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Eupolymnia","Eupolymnia nebulosa"
"Eurydice affinis","Mobile","I","I","Peu fragile","Meuble","0","TP","Predateur","Endofaune","118843","Animalia","Arthropoda","Malacostraca","Isopoda","Cirolanidae","Eurydice","Eurydice affinis"
"Eurydice pulchra","Mobile","I","I","Peu fragile","Meuble","0","TP","Predateur","Endofaune","118852","Animalia","Arthropoda","Malacostraca","Isopoda","Cirolanidae","Eurydice","Eurydice pulchra"
"Eurynome","Mobile","I","I","Peu fragile","Indifferent","0","P","Predateur","Interstice","106901","Animalia","Arthropoda","Malacostraca","Decapoda","Majidae","Eurynome",NA
"Eurynome aspera","Mobile","I","I","Peu fragile","Meuble","0","P","Predateur","Interstice","107318","Animalia","Arthropoda","Malacostraca","Decapoda","Majidae","Eurynome","Eurynome aspera"
"Eurysyllis","Mobile","II","II","Tres fragile","Indifferent","0","TP","Predateur","Interstice","129652","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Eurysyllis",NA
"Eulalia spp.",NA,NA,NA,NA,NA,NA,NA,NA,"Interstice","129445","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eulalia",NA
"Eurysyllis tuberculata","Mobile","II","II","Tres fragile","Indifferent","0","TP","Predateur","Interstice","131288","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Eurysyllis","Eurysyllis tuberculata"
"Euspira nitida","Mobile","II","II","Peu fragile","Meuble","0","P","Predateur","Endofaune","151894","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Euspira","Euspira nitida"
"Eulalia tripunctata",NA,NA,"II",NA,NA,NA,NA,NA,"Interstice","130636","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eulalia","Eulalia tripunctata"
"Exogone spp.","Mobile","II","II","Tres fragile","Meuble","0","TP","Predateur","Interstice","129654","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Exogone",NA
"Fabulina fabula","Peu mobile","I","I","Tres fragile","Meuble","0","P","Suspensivore","Endofaune","146907","Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Fabulina","Fabulina fabula"
"Facelina spp.","Mobile","I",NA,"Tres fragile","Dur","0","P","Predateur","Epifaune","137997","Animalia","Mollusca","Gastropoda","Nudibranchia","Facelinidae","Facelina",NA
"Facelina spp.","Mobile","I",NA,"Tres fragile","Dur","0","P","Predateur","Epifaune","137997","Animalia","Mollusca","Gastropoda","Nudibranchia","Facelinidae","Facelina",NA
"Fimbriosthenelais spp.","Mobile","II","II","Tres fragile","Meuble","0","P","Predateur","Endofaune","129588","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Fimbriosthenelais",NA
"Fissurellidae spp.","Peu mobile","I",NA,"Pas fragile","Dur","0","P","Brouteur","Epifaune","111","Animalia","Mollusca","Gastropoda","Lepetellida","Fissurellidae",NA,NA
"Flabelligera affinis","Peu mobile","III","II","Tres fragile","Indifferent","0","P","Deposivore","Endofaune","130103","Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","Flabelligera","Flabelligera affinis"
"Folinella excavata","Fixe","I","II","Peu fragile","Meuble","0","TP","Parasitique","Epifaune","195919","Animalia","Mollusca","Gastropoda",NA,"Pyramidellidae","Folinella","Folinella excavata"
"Eunice pennata",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","130060","Animalia","Annelida","Polychaeta","Eunicida","Eunicidae","Eunice","Eunice pennata"
"Gaidropsarus vulgaris","Mobile",NA,NA,"Peu fragile","Indifferent","0","MG","Predateur","Interstice","126458","Animalia","Chordata","Actinopteri","Gadiformes","Lotidae","Gaidropsarus","Gaidropsarus vulgaris"
"Galathea intermedia","Mobile","I","I","Peu fragile","Indifferent","0","P","Suspensivore","Epifaune","107150","Animalia","Arthropoda","Malacostraca","Decapoda","Galatheidae","Galathea","Galathea intermedia"
"Galathea squamifera","Mobile","I","I","Peu fragile","Dur","0","P","Suspensivore","Epifaune","107154","Animalia","Arthropoda","Malacostraca","Decapoda","Galatheidae","Galathea","Galathea squamifera"
"Galathea strigosa","Mobile","I","I","Peu fragile","Dur","0","PM","Detritivore","Epifaune","107155","Animalia","Arthropoda","Malacostraca","Decapoda","Galatheidae","Galathea","Galathea strigosa"
"Galathowenia oculata","Peu mobile","I","III","Tres fragile","Meuble","1","P","Deposivore","Endofaune","146950","Animalia","Annelida","Polychaeta",NA,"Oweniidae","Galathowenia","Galathowenia oculata"
"Gammarella fucicola","Mobile","III","III","Peu fragile","Meuble","0","TP","Detritivore","Epifaune","102811","Animalia","Arthropoda","Malacostraca","Amphipoda","Nuuanuidae","Gammarella","Gammarella fucicola"
"Gammaropsis","Mobile","I","I","Peu fragile","Dur","0","TP","Detritivore","Epifaune","101558","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Gammaropsis",NA
"Gammaropsis maculata","Mobile","I","I","Peu fragile","Dur","0","TP","Detritivore","Epifaune","102364","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Gammaropsis","Gammaropsis maculata"
"Gammaropsis maculata","Peu mobile","I","I","Peu fragile","Indifferent","1","P","Deposivore","Epifaune","102364","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Gammaropsis","Gammaropsis maculata"
"Gammarus","Mobile","I","I","Peu fragile","Indifferent","0","P","Brouteur","Interstice","101537","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus",NA
"Gari costulata","Peu mobile","I","I","Tres fragile","Meuble","0","P","Suspensivore","Endofaune","140868","Animalia","Mollusca","Bivalvia","Cardiida","Psammobiidae","Gari","Gari costulata"
"Gari depressa","Peu mobile","I","I","Pas fragile","Meuble","0","P","Suspensivore","Endofaune","140869","Animalia","Mollusca","Bivalvia","Cardiida","Psammobiidae","Gari","Gari depressa"
"Gari fervensis","Peu mobile","I","I","Pas fragile","Meuble","0","P","Suspensivore","Endofaune","140870","Animalia","Mollusca","Bivalvia","Cardiida","Psammobiidae","Gari","Gari fervensis"
"Gari tellinella","Peu mobile","I","I","Pas fragile","Meuble","0","P","Suspensivore","Endofaune","140873","Animalia","Mollusca","Bivalvia","Cardiida","Psammobiidae","Gari","Gari tellinella"
"Gastrosaccus","Mobile","I","II","Tres fragile","Meuble","0","P","Omnivore","Epifaune","119859","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Gastrosaccus",NA
"Eusirus longipes",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","102202","Animalia","Arthropoda","Malacostraca","Amphipoda","Eusiridae","Eusirus","Eusirus longipes"
"Gastrosaccus sanctus","Mobile","I","II","Tres fragile","Meuble","0","P","Omnivore","Epifaune","120019","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Gastrosaccus","Gastrosaccus sanctus"
"Euspira catena",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","140528","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Euspira","Euspira catena"
"Gattyana cirrhosa","Peu mobile","II","III","Tres fragile","Meuble","0","PM","Predateur","Epifaune","130749","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Gattyana","Gattyana cirrhosa"
"Gibbula","Peu mobile","I","I","Pas fragile","Indifferent","0","P","Herbivore","Epifaune","138590","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Gibbula",NA
"Gibbula magus","Mobile","I","I","Pas fragile","Indifferent","0","P","Herbivore","Epifaune","141790","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Gibbula","Gibbula magus"
"Glycera spp.","Mobile","II","II","Peu fragile","Meuble","0","MG","Predateur","Endofaune","129296","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera",NA
"Eusyllis spp.",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","129653","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Eusyllis",NA
"Euthalenessa oculata",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","131064","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Euthalenessa","Euthalenessa oculata"
"Glycera lapidum","Mobile","II","II","Peu fragile","Meuble","0","PM","Predateur","Endofaune","130123","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","Glycera lapidum"
"Glycera tridactyla","Mobile","II","II","Peu fragile","Meuble","0","PM","Predateur","Endofaune","130130","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","Glycera tridactyla"
"Glycinde nordmanni","Mobile","II","II","Peu fragile","Meuble","0","P","Predateur","Endofaune","130136","Animalia","Annelida","Polychaeta","Phyllodocida","Goniadidae","Glycinde","Glycinde nordmanni"
"Facelina spp.",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","137997","Animalia","Mollusca","Gastropoda","Nudibranchia","Facelinidae","Facelina",NA
"Glycymeris glycymeris","Peu mobile","I","III","Pas fragile","Meuble","0","PM","Suspensivore","Endofaune","140025","Animalia","Mollusca","Bivalvia","Arcida","Glycymerididae","Glycymeris","Glycymeris glycymeris"
"Facelinidae",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","191","Animalia","Mollusca","Gastropoda","Nudibranchia","Facelinidae",NA,NA
"Gnathia spp.","Mobile","I","I","Peu fragile","Dur","0","TP","Predateur","Interstice","118437","Animalia","Arthropoda","Malacostraca","Isopoda","Gnathiidae","Gnathia",NA
"Fimbriosthenelais spp.",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","129588","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Fimbriosthenelais",NA
"Flabelligeridae",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","976","Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae",NA,NA
"Gnathiidae sp.","Mobile","I","I","Peu fragile","Indifferent","0","TP","Predateur","Interstice","118278","Animalia","Arthropoda","Malacostraca","Isopoda","Gnathiidae",NA,NA
"Gobius","Mobile",NA,NA,"Peu fragile","Indifferent","0","M","Predateur","Epifaune","125988","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Gobius",NA
"Gaidropsarus",NA,NA,NA,NA,NA,NA,NA,NA,"Interstice","125743","Animalia","Chordata","Actinopteri","Gadiformes","Lotidae","Gaidropsarus",NA
"Gobius niger","Mobile",NA,NA,"Peu fragile","Meuble","0","M","Predateur","Epifaune","126892","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Gobius","Gobius niger"
"Golfingia","Peu mobile","I","I","Tres fragile","Meuble","0","M","Detritivore","Endofaune","136021","Animalia","Annelida",NA,"Sipuncula","Golfingiidae","Golfingia",NA
"Golfingia (Golfingia) elongata","Peu mobile","I","II","Tres fragile","Meuble","0","M","Detritivore","Endofaune","175026","Animalia","Annelida",NA,"Sipuncula","Golfingiidae","Golfingia","Golfingia (Golfingia) elongata"
"Galathea nexa",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","107152","Animalia","Arthropoda","Malacostraca","Decapoda","Galatheidae","Galathea","Galathea nexa"
"Golfingia (Golfingia) vulgaris vulgaris","Peu mobile","I","I","Tres fragile","Meuble","0","M","Detritivore","Endofaune","410724","Animalia","Annelida",NA,"Sipuncula","Golfingiidae","Golfingia","Golfingia (Golfingia) vulgaris"
"Goniadella spp.","Mobile","II","II","Peu fragile","Meuble","0","P","Predateur","Endofaune","129301","Animalia","Annelida","Polychaeta","Phyllodocida","Goniadidae","Goniadella",NA
"Goodallia triangularis","Peu mobile","I","II","Pas fragile","Meuble","0","TP","Suspensivore","Endofaune","138831","Animalia","Mollusca","Bivalvia","Carditida","Astartidae","Goodallia","Goodallia triangularis"
"Gammarellus angulosus",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","102251","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammarellidae","Gammarellus","Gammarellus angulosus"
"Gouldia minima","Peu mobile","II","I","Pas fragile","Meuble","0","P","Suspensivore","Endofaune","141916","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Gouldia","Gouldia minima"
"Grania","Peu mobile","I","V","Tres fragile","Meuble","0","P","Deposivore","Endofaune","137349","Animalia","Annelida","Clitellata","Enchytraeida","Enchytraeidae","Grania",NA
"Gymnammodytes semisquamatus","Mobile",NA,NA,"Peu fragile","Meuble","0","M","Predateur","Epifaune","126754","Animalia","Chordata","Actinopteri","Perciformes","Ammodytidae","Gymnammodytes","Gymnammodytes semisquamatus"
"Gymnammodytes semisquamatus","Mobile",NA,NA,"Peu fragile","Meuble","0","MG","Predateur","Epifaune","126754","Animalia","Chordata","Actinopteri","Perciformes","Ammodytidae","Gymnammodytes","Gymnammodytes semisquamatus"
"Gammaropsis maculata",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","102364","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Gammaropsis","Gammaropsis maculata"
"Gyptis propinqua","Mobile","II","II","Tres fragile","Meuble","0","TP","Predateur","Endofaune","130156","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Gyptis","Gyptis propinqua"
"Haedropleura septangularis","Peu mobile","I","I","Pas fragile","Meuble","0","P","Predateur","Epifaune","141864","Animalia","Mollusca","Gastropoda","Neogastropoda","Horaiclavidae","Haedropleura","Haedropleura septangularis"
"Halcampa spp.","Peu mobile","I","I","Tres fragile","Meuble","0","PM","Predateur","Interstice","100740","Animalia","Cnidaria","Anthozoa","Actiniaria","Halcampidae","Halcampa",NA
"Halcampa spp.","Fixe","I","I","Tres fragile","Meuble","0","PM","Predateur","Endofaune","100740","Animalia","Cnidaria","Anthozoa","Actiniaria","Halcampidae","Halcampa",NA
"Halcampa spp.","Peu mobile","I","I","Tres fragile","Meuble","0","PM","Predateur","Epifaune","100740","Animalia","Cnidaria","Anthozoa","Actiniaria","Halcampidae","Halcampa",NA
"Halicondria sp.","Fixe","I","I","Tres fragile","Dur","0","M","Suspensivore","Epifaune","131807","Animalia","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria",NA
"Haliclona spp.","Fixe","I","I","Tres fragile","Dur","0","M","Suspensivore","Epifaune","131834","Animalia","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona",NA
"Amphilochidae spp.",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","101365","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae",NA,NA
"Haliclona (Reniera) cinerea","Fixe","I","I","Tres fragile","Dur","0","PM","Suspensivore","Epifaune","166605","Animalia","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona (Reniera) cinerea"
"Haminoea hydatis","Peu mobile","II","II","Tres fragile","Meuble","0","P","Herbivore","Epifaune","140074","Animalia","Mollusca","Gastropoda","Cephalaspidea","Haminoeidae","Haminoea","Haminoea hydatis"
"Hanleya hanleyi","Fixe","I","I","Peu fragile","Dur","0","P","Brouteur","Epifaune","140082","Animalia","Mollusca","Polyplacophora","Lepidopleurida","Hanleyidae","Hanleya","Hanleya hanleyi"
"Haploops","Peu mobile","I","III","Peu fragile","Meuble","1","TP","Suspensivore","Interstice","101447","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Haploops",NA
"Haploops antennata","Peu mobile","I","III","Peu fragile","Meuble","1","TP","Suspensivore","Endofaune","732558","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Haploops","Haploops antennata"
"Haploops nirae","Peu mobile","I","III","Peu fragile","Meuble","1","TP","Suspensivore","Endofaune","101951","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Haploops","Haploops nirae"
"Mysida spp.","Mobile","I","II","Tres fragile","Meuble","0","TP","Omnivore","Epifaune","149668","Animalia","Arthropoda","Malacostraca","Mysida",NA,NA,NA
"Haplosyllis spongicola","Mobile","II","II","Peu fragile","Dur","0","PM","Predateur","Interstice","131321","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Haplosyllis","Haplosyllis spongicola"
"Harmothoe spp.","Mobile","II","II","Peu fragile","Dur","0","PM","Predateur","Epifaune","129491","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe",NA
"Glyceridae",NA,NA,"II",NA,NA,NA,NA,NA,"Endofaune","952","Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae",NA,NA
"Harmothoe areolata","Peu mobile","II","II","Peu fragile","Dur","0","P","Predateur","Interstice","130755","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe areolata"
"Harmothoe impar","Peu mobile","II","II","Peu fragile","Indifferent","0","P","Predateur","Epifaune","130770","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe impar"
"Harmothoe spp.","Peu mobile","II","II","Peu fragile","Indifferent","0","P","Predateur","Epifaune","129491","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe",NA
"Harmothoe extenuata","Mobile","II","II","Peu fragile","Indifferent","0","PM","Predateur","Epifaune","130762","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe extenuata"
"Harmothoe impar","Peu mobile","II","II","Peu fragile","Indifferent","0","TP","Predateur","Epifaune","130770","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe impar"
"Harmothoe fragilis","Peu mobile","II","II","Peu fragile","Indifferent","0","P","Predateur","Epifaune","130763","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe fragilis"
"Harmothoe glabra","Peu mobile","II","II","Peu fragile","Indifferent","0","P","Predateur","Epifaune","571832","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe glabra"
"Harmothoe imbricata","Mobile","II","II","Peu fragile","Indifferent","0","PM","Predateur","Epifaune","130769","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe imbricata"
"Harmothoe impar","Mobile","II","II","Tres fragile","Dur","0","P","Predateur","Epifaune","130770","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe impar"
"Harmothoe spp.","Mobile","I","II","Peu fragile","Dur","0","PM","Predateur","Epifaune","129491","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe",NA
"Harmothoe spinifera","Mobile","II","II","Peu fragile","Dur","0","P","Predateur","Epifaune","130781","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe spinifera"
"Harmothoe viridis","Peu mobile","II","II","Peu fragile","Indifferent","0","P","Predateur","Epifaune","130785","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe viridis"
"Harpinia","Mobile","I","I","Peu fragile","Meuble","0","TP","Deposivore","Endofaune","101716","Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae","Harpinia",NA
"Goniada spp.",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","129300","Animalia","Annelida","Polychaeta","Phyllodocida","Goniadidae","Goniada",NA
"Harpinia crenulata","Peu mobile","I","I","Peu fragile","Meuble","0","TP","Deposivore","Endofaune","102963","Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae","Harpinia","Harpinia crenulata"
"Harpinia pectinata","Peu mobile","I","I","Peu fragile","Meuble","0","TP","Deposivore","Endofaune","102972","Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae","Harpinia","Harpinia pectinata"
"Hermania scabra","Peu mobile","I","II","Tres fragile","Meuble","0","P","Predateur","Endofaune","867492","Animalia","Mollusca","Gastropoda","Cephalaspidea","Philinidae","Hermania","Hermania scabra"
"Hesione splendida","Mobile","II","II","Peu fragile","Dur","0","PM","Predateur","Epifaune","130158","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Hesione","Hesione splendida"
"Hesionidae","Mobile","II","II","Tres fragile","Indifferent","0","PM","Predateur","Interstice","946","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae",NA,NA
"Hesiospina aurantiaca","Mobile","II","II","Tres fragile","Meuble","0","P","Inconnu","Interstice","333615","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Hesiospina","Hesiospina aurantiaca"
"Heteranomia squamula","Fixe","I","I","Peu fragile","Dur","0","P","Suspensivore","Epifaune","138749","Animalia","Mollusca","Bivalvia","Pectinida","Anomiidae","Heteranomia","Heteranomia squamula"
"Maldanidae spp.","Peu mobile","I","V","Peu fragile","Meuble","1","M","Deposivore","Endofaune","923","Animalia","Annelida","Polychaeta",NA,"Maldanidae",NA,NA
"Heteromastus filiformis","Peu mobile","III","III","Tres fragile","Meuble","1","MG","Deposivore","Endofaune","129884","Animalia","Annelida","Polychaeta",NA,"Capitellidae","Heteromastus","Heteromastus filiformis"
"Gregariella semigranata",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","140453","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Gregariella","Gregariella semigranata"
"Heteromysis sp.","Mobile","I","II","Tres fragile","Meuble","0","TP","Omnivore","Epifaune","119863","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Heteromysis",NA
"Mysida spp.","Mobile","I","II","Tres fragile","Meuble","0","TP","Suspensivore","Interstice","149668","Animalia","Arthropoda","Malacostraca","Mysida",NA,NA,NA
"Hiatella arctica","Fixe","I","III","Pas fragile","Dur","0","PM","Suspensivore","Epifaune","140103","Animalia","Mollusca","Bivalvia","Adapedonta","Hiatellidae","Hiatella","Hiatella arctica"
"Hiatella rugosa","Peu mobile","III","I","Pas fragile","Dur","0","P","Suspensivore","Interstice","140104","Animalia","Mollusca","Bivalvia","Adapedonta","Hiatellidae","Hiatella","Hiatella rugosa"
"Hilbigneris gracilis","Mobile","II","II","Peu fragile","Indifferent","0","PM","Inconnu","Endofaune","607402","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Hilbigneris","Hilbigneris gracilis"
"Hippolyte inermis","Mobile","I","I","Peu fragile","Dur","0","P","Predateur","Epifaune","107511","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Hippolyte","Hippolyte inermis"
"Hippolyte varians","Mobile","I","I","Peu fragile","Indifferent","0","P","Detritivore","Epifaune","107518","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Hippolyte","Hippolyte varians"
"Hippolytidae spp.","Mobile","I","I","Peu fragile","Indifferent","0","PM","Predateur","Epifaune","106777","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae",NA,NA
"Hippomedon denticulatus","Peu mobile","I","I","Peu fragile","Meuble","0","P","Necrophage","Interstice","102570","Animalia","Arthropoda","Malacostraca","Amphipoda","Tryphosidae","Hippomedon","Hippomedon denticulatus"
"Holothuriidae","Peu mobile","I","I","Tres fragile","Indifferent","0","M","Suspensivore","Endofaune","731943","Animalia","Echinodermata","Holothuroidea","Holothuriida","Holothuriidae",NA,NA
"Haliclona spp.",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","131834","Animalia","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona",NA
"Hormathia","Fixe","I","I","Tres fragile","Dur","0","PM","Predateur","Epifaune","100757","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Hormathia",NA
"Actiniaria spp.","Fixe","I","I","Tres fragile","Dur","0","PM","Predateur","Epifaune","1360","Animalia","Cnidaria","Anthozoa","Actiniaria",NA,NA,NA
