Espece	Mobility	AFF.MO	AMBI	Fragilite	AFF.RO	Tube	Taille	GT	Position	Phylum	Class	Order	Family
Cheirocratus	Mobile	I	I	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Cheirocratidae
Cheirocratus assimilis	Mobile	I	I	Peu fragile	Dur	0	P	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Cheirocratidae
Cheirocratus sundevallii	Mobile	I	I	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Cheirocratidae
Cestopagurus timidus			I						Epifaune				
Chondrochelia savignyi	Mobile	I	III	Peu fragile	Meuble	0	TP	Inconnu	Epifaune	Arthropoda	Malacostraca	Tanaidacea	Leptocheliidae
Chone	Peu mobile	III	II	Tres fragile	Indifferent	1	P	Suspensivore	Endofaune	Annelida	Polychaeta	Sabellida	Sabellidae
Chone duneri	Peu mobile	III	II	Tres fragile	Indifferent	1	P	Suspensivore	Endofaune	Annelida	Polychaeta	Sabellida	Sabellidae
Chone filicaudata	Peu mobile	III	II	Tres fragile	Meuble	1	P	Suspensivore	Endofaune	Annelida	Polychaeta	Sabellida	Sabellidae
Chone infundibuliformis	Peu mobile	I	II	Tres fragile	Meuble	1	P	Suspensivore	Endofaune	Annelida	Polychaeta	Sabellida	Sabellidae
Chone kroyerii	Peu mobile	III	II	Tres fragile	Meuble	1	TP	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Chrysopetalum debile	Mobile	I	I	Tres fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Chrysopetalidae
Ciliata mustela	Mobile	NA	NA	Peu fragile	Indifferent	0	M	Predateur	Epifaune	Chordata	Actinopteri	Gadiformes	Lotidae
Cirolana cranchii	Mobile	I	II	Peu fragile	Meuble	0	TP	Predateur	Epifaune	Arthropoda	Malacostraca	Isopoda	Cirolanidae
Cirratulidae	Peu mobile	IV	IV	Tres fragile	Meuble	0	PM	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Cirratulus cirratus	Peu mobile	IV	IV	Tres fragile	Indifferent	0	M	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Cirriformia tentaculata	Peu mobile	IV	IV	Tres fragile	Meuble	1	M	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Cirratulidae
Cirrophorus furcatus	Peu mobile	I	II	Peu fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta		Paraonidae
Cheirocratus intermedius			I						Epifaune				
Clausinella fasciata	Peu mobile	I	I	Pas fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Venerida	Veneridae
Chirimia biceps			II						Endofaune				
Cliona celata	Fixe	I	III	Tres fragile	Dur	0	G	Suspensivore	Epifaune	Porifera	Demospongiae	Clionaida	Clionaidae
Chlamys			NA						Epifaune				
Clymenella cincta	Peu mobile	I	I	Tres fragile	Meuble	1	M	Detritivore	Endofaune	Annelida	Polychaeta		Maldanidae
Clymenura	Fixe	I	III	Tres fragile	Indifferent	1	PM	Detritivore	Endofaune	Annelida	Polychaeta		Maldanidae
Comarmondia gracilis	Peu mobile	I	NA	Peu fragile	Meuble	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Neogastropoda	Clathurellidae
Conilera cylindracea	Mobile	I	NA	Peu fragile	Meuble	0	TP	Predateur	Endofaune	Arthropoda	Malacostraca	Isopoda	Cirolanidae
Copepoda	Mobile	NA	NA	Pas fragile	Indifferent	0	P	Predateur	Epifaune	Arthropoda	Hexanauplia		
Corophium	Peu mobile	I	III	Peu fragile	Dur	1	P	Detritivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Corophiidae
Crangon crangon	Mobile	I	I	Peu fragile	Meuble	0	PM	Omnivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Crangonidae
Crassicorophium bonellii	Peu mobile	III	III	Peu fragile	Dur	1	TP	Detritivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Corophiidae
Crepidula fornicata	Fixe	I	III	Pas fragile	Meuble	0	P	Suspensivore	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Calyptraeidae
Cirratulus			NA						Endofaune				
Crisilla semistriata	Peu mobile	I	I	Pas fragile	Indifferent	0	TP	Detritivore	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Rissoidae
Ctenolabrus rupestris	Mobile	NA	NA	Peu fragile	Dur	0	M	Predateur	Epifaune	Chordata	Actinopteri	Eupercaria incertae sedis	Labridae
Cucumariidae	Peu mobile	I	I	Peu fragile	Meuble	0	M	Inconnu	Interstice	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae
Cirripedia			NA						Epifaune				
Cirrophorus branchiatus			III						Endofaune				
Cyathura carinata	Peu mobile	III	III	Peu fragile	Meuble	1	P	Detritivore	Epifaune	Arthropoda	Malacostraca	Isopoda	Anthuridae
Cylichna cylindracea	Peu mobile	I	II	Pas fragile	Meuble	0	P	Predateur	Endofaune	Mollusca	Gastropoda	Cephalaspidea	Cylichnidae
Claparedepelogenia inclusa			II						Endofaune				
Cymodoce truncata	Mobile	I	I	Peu fragile	Dur	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Isopoda	Sphaeromatidae
Cyrillia linearis	Peu mobile	I	NA	Pas fragile	Indifferent	0	P	Predateur	Interstice	Mollusca	Gastropoda	Neogastropoda	Raphitomidae
Deflexilodes subnudus	Mobile	I	I	Peu fragile	Meuble	0	TP	Predateur	Epifaune	Arthropoda	Malacostraca	Amphipoda	Oedicerotidae
Demospongiae	Fixe	I	I	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae		
Cnidaria			I						NA				
Dexamine spinosa	Mobile	III	III	Peu fragile	Meuble	0	P	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Dexaminidae
Dialychone dunerificta	Peu mobile	I	II	Tres fragile	Meuble	1	TP	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Didemnidae	Fixe	I	NA	Pas fragile	Dur	0	M	Suspensivore	Epifaune	Chordata	Ascidiacea	Aplousobranchia	Didemnidae
Diodora graeca	Peu mobile	I	II	Pas fragile	Dur	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Lepetellida	Fissurellidae
Diogenes pugilator	Mobile	I	II	Peu fragile	Meuble	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Diogenidae
Dioplosyllis cirrosa	Mobile	I	NA	Tres fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Syllidae
Crassicorophium crassicorne			III						Interstice				
Diplecogaster bimaculata bimaculata	Mobile	NA	NA	Peu fragile	Indifferent	0	P	Predateur	Interstice	Chordata	Actinopteri	Gobiesociformes	Gobiesocidae
Diplocirrus glaucus	Peu mobile	I	I	Tres fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Flabelligeridae
Diplocirrus stopbowitzi	Peu mobile	I	I	Tres fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Flabelligeridae
Diplodonta rotundata	Peu mobile	I	II	Pas fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Venerida	Ungulinidae
Diplosoma	Fixe	I	NA	Pas fragile	Dur	0	P	Suspensivore	Epifaune	Chordata	Ascidiacea	Aplousobranchia	Didemnidae
Dipolydora	Peu mobile	IV	IV	Tres fragile	Meuble	1	TP	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Dipolydora caulleryi	Peu mobile	IV	IV	Tres fragile	Meuble	1	TP	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Dipolydora coeca	Peu mobile	IV	IV	Tres fragile	Dur	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Dipolydora flava	Peu mobile	IV	IV	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Dipolydora giardi	Peu mobile	IV	IV	Tres fragile	Meuble	0	PM	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Dipolydora saintjosephi	Peu mobile	IV	IV	Tres fragile	Meuble	1	TP	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Doris	Mobile	II	I	Tres fragile	Dur	0	M	Predateur	Epifaune	Mollusca	Gastropoda	Nudibranchia	Dorididae
Doris pseudoargus	Mobile	II	I	Tres fragile	Dur	0	PM	Predateur	Epifaune	Mollusca	Gastropoda	Nudibranchia	Dorididae
Doris verrucosa	Mobile	II	I	Tres fragile	Dur	0	PM	Predateur	Epifaune	Mollusca	Gastropoda	Nudibranchia	Dorididae
Dorvillea erucaeformis	Mobile	II	II	Tres fragile	Meuble	0	P	Predateur	Epifaune	Annelida	Polychaeta	Eunicida	Dorvilleidae
Diplecogaster			NA						Endofaune				
Dorvillea rubrovittata	Peu mobile	II	II	Tres fragile	Indifferent	0	PM	Predateur	Endofaune	Annelida	Polychaeta	Eunicida	Dorvilleidae
Dosinia exoleta	Peu mobile	I	I	Peu fragile	Meuble	0	PM	Suspensivore	Endofaune	Mollusca	Bivalvia	Venerida	Veneridae
Dosinia lupinus	Peu mobile	I	I	Peu fragile	Meuble	0	PM	Suspensivore	Endofaune	Mollusca	Bivalvia	Venerida	Veneridae
Drilonereis	Mobile	II	II	Peu fragile	Meuble	0	M	Deposivore	Endofaune	Annelida	Polychaeta	Eunicida	Oenonidae
Drilonereis filum	Mobile	II	II	Peu fragile	Meuble	0	M	Deposivore	Endofaune	Annelida	Polychaeta	Eunicida	Oenonidae
Dynamene bidentata	Mobile	I	II	Peu fragile	Dur	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Isopoda	Sphaeromatidae
Dysidea fragilis	Fixe	I	III	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Porifera	Demospongiae	Dictyoceratida	Dysideidae
Ebalia tuberosa	Mobile	I	II	Peu fragile	Meuble	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Leucosiidae
Ebalia tumefacta	Mobile	I	II	Peu fragile	Meuble	0	P	Suspensivore	Interstice	Arthropoda	Malacostraca	Decapoda	Leucosiidae
Echinocardium cordatum	Mobile	I	I	Tres fragile	Meuble	0	PM	Deposivore	Endofaune	Echinodermata	Echinoidea	Spatangoida	Loveniidae
Echinocyamus pusillus	Mobile	I	I	Tres fragile	Meuble	0	P	Deposivore	Endofaune	Echinodermata	Echinoidea	Clypeasteroida	Fibulariidae
Discodoris			NA						Epifaune				
Echinus esculentus	Mobile	I	I	Tres fragile	Dur	0	M	Brouteur	Epifaune	Echinodermata	Echinoidea	Camarodonta	Echinidae
Edwardsia	Fixe	I	II	Tres fragile	Meuble	0	P	Predateur	Epifaune	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae
Edwardsia claparedii	Fixe	I	III	Tres fragile	Meuble	0	P	Predateur	Epifaune	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae
Elasmopus rapax	Peu mobile	III	III	Pas fragile	Dur	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Maeridae
Eledone cirrhosa	Mobile	I	NA	Peu fragile	Dur	0	M	Predateur	Epifaune	Mollusca	Cephalopoda	Octopoda	Eledonidae
Doto			NA						Epifaune				
Emarginula rosea	Peu mobile	I	I	Peu fragile	Dur	0	TP	Predateur	Epifaune	Mollusca	Gastropoda	Lepetellida	Fissurellidae
Doto coronata			NA						Epifaune				
Endeis spinosa	Mobile	I	II	Tres fragile	Indifferent	0	P	Omnivore	Epifaune	Arthropoda	Pycnogonida	Pantopoda	Endeidae
Enipo kinbergi	Mobile	I	II	Peu fragile	Meuble	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Ensis	Peu mobile	I	I	Tres fragile	Meuble	0	M	Suspensivore	Endofaune	Mollusca	Bivalvia	Adapedonta	Pharidae
Ensis ensis	Peu mobile	I	I	Tres fragile	Meuble	0	M	Suspensivore	Endofaune	Mollusca	Bivalvia	Adapedonta	Pharidae
Ephesiella abyssorum	Mobile	II	I	Tres fragile	Indifferent	0	P	Deposivore	Endofaune	Annelida	Polychaeta	Phyllodocida	Sphaerodoridae
Dysponetus			NA						Endofaune				
Ephesiella cantonei	Mobile	II	I	Tres fragile	Indifferent	0	P	Detritivore	Interstice	Annelida	Polychaeta	Phyllodocida	Sphaerodoridae
Dysponetus joeli			NA						Endofaune				
Epilepton clarkiae	Fixe	I	I	Tres fragile	Meuble	0	TP	Deposivore	Epifaune	Mollusca	Bivalvia	Galeommatida	Lasaeidae
Ebalia			II						Epifaune				
Epitonium clathrus	Peu mobile	I	I	Peu fragile	Meuble	0	P	Predateur	Epifaune	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Epitoniidae
Ebalia granulosa			II						Epifaune				
Ericthonius punctatus	Peu mobile	I	I	Peu fragile	Dur	1	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae
Eteone	Mobile	II	II	Peu fragile	Indifferent	0	MG	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eteone flava	Mobile	II	III	Tres fragile	Meuble	0	M	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Echinocardium mortenseni			I						Endofaune				
Eteone longa	Mobile	II	II	Peu fragile	Meuble	0	M	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Echinocardium pennatifidum			NA						Endofaune				
Eteone suecica	Mobile	II	III	Tres fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eualus cranchii	Mobile	I	I	Peu fragile	Indifferent	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Thoridae
Echinogammarus			NA						Epifaune				
Eualus occultus	Mobile	I	I	Peu fragile	Meuble	0	P	Predateur	Interstice	Arthropoda	Malacostraca	Decapoda	Thoridae
Eualus pusiolus	Mobile	I	I	Peu fragile	Dur	0	PM	Predateur	Interstice	Arthropoda	Malacostraca	Decapoda	Thoridae
Euchone rosea	Fixe	I	II	Tres fragile	Dur	1	TP	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Euchone rubrocincta	Peu mobile	I	II	Tres fragile	Meuble	1	TP	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Euchone southerni	Peu mobile	I	II	Tres fragile	Meuble	1	TP	Suspensivore	Epifaune	Annelida	Polychaeta	Sabellida	Sabellidae
Euclymene	Peu mobile	I	I	Tres fragile	Dur	1	PM	Deposivore	Endofaune	Annelida	Polychaeta		Maldanidae
Elysia viridis			NA						Epifaune				
Euclymene droebachiensis	Fixe	I	III	Tres fragile	Indifferent	1	P	Detritivore	Endofaune	Annelida	Polychaeta		Maldanidae
Euclymene lombricoides	Fixe	I	I	Tres fragile	Indifferent	1	PM	Detritivore	Interstice	Annelida	Polychaeta		Maldanidae
Euclymene oerstedii	Peu mobile	I	I	Tres fragile	Meuble	1	PM	Deposivore	Endofaune	Annelida	Polychaeta		Maldanidae
Euclymene palermitana	Peu mobile	I	I	Tres fragile	Meuble	1	M	Deposivore	Endofaune	Annelida	Polychaeta		Maldanidae
Eulalia	Mobile	II	II	Peu fragile	Dur	0	PM	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Ensis magnus			I						Endofaune				
Eulalia aurea	Mobile	II	II	Peu fragile	Dur	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eulalia bilineata	Mobile	II	II	Peu fragile	Indifferent	0	PM	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eulalia brunnea	Peu mobile	II	II	Peu fragile	Meuble	0	M	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eulalia clavigera	Mobile	II	II	Peu fragile	Dur	0	P	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eulalia expusilla	Mobile	II	II	Peu fragile	Dur	0	TP	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eulalia mustela	Mobile	I	II	Peu fragile	Indifferent	0	P	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Erinaceusyllis erinaceus			II						Epifaune				
Eulalia ornata	Mobile	II	II	Peu fragile	Dur	0	M	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Esperiopsis			NA						Epifaune				
Eulalia parva	Mobile	II	II	Peu fragile	Dur	0	P	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eulalia viridis	Mobile	II	II	Peu fragile	Dur	0	M	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eulima bilineata	Peu mobile	I	I	Pas fragile	Meuble	0	P	Parasitique	Interstice	Mollusca	Gastropoda	Littorinimorpha	Eulimidae
Eumida	Mobile	II	II	Peu fragile	Indifferent	0	PM	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eumida arctica	Mobile	II	NA	Peu fragile	Indifferent	0	PM	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eumida bahusiensis	Mobile	II	II	Peu fragile	Meuble	0	P	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eumida punctifera	Mobile	II	II	Peu fragile	Meuble	0	PM	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eumida sanguinea	Mobile	II	II	Peu fragile	Indifferent	0	PM	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Eubranchus			NA						Epifaune				
Eunice	Mobile	II	II	Peu fragile	Indifferent	1	M	Omnivore	Endofaune	Annelida	Polychaeta	Eunicida	Eunicidae
Euchone			NA						Epifaune				
Eunice vittata	Mobile	I	II	Peu fragile	Dur	1	PM	Omnivore	Interstice	Annelida	Polychaeta	Eunicida	Eunicidae
Eunice woodwardi	Mobile	II	II	Peu fragile	Indifferent	1	P	Omnivore	Interstice	Annelida	Polychaeta	Eunicida	Eunicidae
Eunicidae	Mobile	II	II	Peu fragile	Indifferent	1	M	Predateur	Interstice	Annelida	Polychaeta	Eunicida	Eunicidae
Euphrosine armadillo	Mobile	II	I	Peu fragile	Indifferent	0	TP	Predateur	Epifaune	Annelida	Polychaeta	Amphinomida	Euphrosinidae
Euphrosine borealis	Mobile	I	I	Peu fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Amphinomida	Euphrosinidae
Euphrosine foliosa	Mobile	II	I	Peu fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Amphinomida	Euphrosinidae
Eupolymnia	Peu mobile	III	III	Tres fragile	Indifferent	1	M	Deposivore	Interstice	Annelida	Polychaeta	Terebellida	Terebellidae
Eupolymnia nebulosa	Peu mobile	III	III	Tres fragile	Indifferent	1	M	Deposivore	Interstice	Annelida	Polychaeta	Terebellida	Terebellidae
Eurydice affinis	Mobile	I	I	Peu fragile	Meuble	0	TP	Predateur	Endofaune	Arthropoda	Malacostraca	Isopoda	Cirolanidae
Eurydice pulchra	Mobile	I	I	Peu fragile	Meuble	0	TP	Predateur	Endofaune	Arthropoda	Malacostraca	Isopoda	Cirolanidae
Eurynome	Mobile	I	I	Peu fragile	Indifferent	0	P	Predateur	Interstice	Arthropoda	Malacostraca	Decapoda	Majidae
Eurynome aspera	Mobile	I	I	Peu fragile	Meuble	0	P	Predateur	Interstice	Arthropoda	Malacostraca	Decapoda	Majidae
Eurysyllis	Mobile	II	II	Tres fragile	Indifferent	0	TP	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Syllidae
Eulalia fuscescens			NA						Interstice				
Eurysyllis tuberculata	Mobile	II	II	Tres fragile	Indifferent	0	TP	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Syllidae
Euspira nitida	Mobile	II	II	Peu fragile	Meuble	0	P	Predateur	Endofaune	Mollusca	Gastropoda	Littorinimorpha	Naticidae
Eusyllinae	Mobile	II	NA	Tres fragile	Meuble	0	P	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Syllidae
Eusyllis	Peu mobile	II	II	Tres fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Syllidae
Eulalia tripunctata			II						Interstice				
Exogone naidina	Mobile	II	II	Tres fragile	Meuble	0	TP	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Syllidae
Fabulina fabula	Peu mobile	I	I	Tres fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Cardiida	Tellinidae
Facelina	Mobile	I	NA	Tres fragile	Dur	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Nudibranchia	Facelinidae
Facelina annulicornis	Mobile	I	NA	Tres fragile	Dur	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Nudibranchia	Facelinidae
Fimbriosthenelais minor	Mobile	II	II	Tres fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Sigalionidae
Fissurellidae	Peu mobile	I	NA	Pas fragile	Dur	0	P	Brouteur	Epifaune	Mollusca	Gastropoda	Lepetellida	Fissurellidae
Flabelligera affinis	Peu mobile	III	II	Tres fragile	Indifferent	0	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Flabelligeridae
Folinella excavata	Fixe	I	II	Peu fragile	Meuble	0	TP	Parasitique	Epifaune	Mollusca	Gastropoda		Pyramidellidae
Eunice pennata			II						Epifaune				
Gaidropsarus vulgaris	Mobile	NA	NA	Peu fragile	Indifferent	0	MG	Predateur	Interstice	Chordata	Actinopteri	Gadiformes	Lotidae
Galathea intermedia	Mobile	I	I	Peu fragile	Indifferent	0	P	Suspensivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Galatheidae
Galathea squamifera	Mobile	I	I	Peu fragile	Dur	0	P	Suspensivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Galatheidae
Galathea strigosa	Mobile	I	I	Peu fragile	Dur	0	PM	Detritivore	Epifaune	Arthropoda	Malacostraca	Decapoda	Galatheidae
Galathowenia oculata	Peu mobile	I	III	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta		Oweniidae
Gammarella fucicola	Mobile	III	III	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Nuuanuidae
Gammaropsis	Mobile	I	I	Peu fragile	Dur	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Photidae
Gammaropsis lobata	Mobile	I	I	Peu fragile	Dur	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Photidae
Gammaropsis maculata	Peu mobile	I	I	Peu fragile	Indifferent	1	P	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Photidae
Gammarus	Mobile	I	I	Peu fragile	Indifferent	0	P	Brouteur	Interstice	Arthropoda	Malacostraca	Amphipoda	Gammaridae
Gari costulata	Peu mobile	I	I	Tres fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Cardiida	Psammobiidae
Gari depressa	Peu mobile	I	I	Pas fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Cardiida	Psammobiidae
Gari fervensis	Peu mobile	I	I	Pas fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Cardiida	Psammobiidae
Gari tellinella	Peu mobile	I	I	Pas fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Cardiida	Psammobiidae
Gastrosaccus	Mobile	I	II	Tres fragile	Meuble	0	P	Omnivore	Epifaune	Arthropoda	Malacostraca	Mysida	Mysidae
Eusirus longipes			I						Endofaune				
Gastrosaccus sanctus	Mobile	I	II	Tres fragile	Meuble	0	P	Omnivore	Epifaune	Arthropoda	Malacostraca	Mysida	Mysidae
Euspira catena			II						Epifaune				
Gattyana cirrhosa	Peu mobile	II	III	Tres fragile	Meuble	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Gibbula	Peu mobile	I	I	Pas fragile	Indifferent	0	P	Herbivore	Epifaune	Mollusca	Gastropoda	Trochida	Trochidae
Gibbula magus	Mobile	I	I	Pas fragile	Indifferent	0	P	Herbivore	Epifaune	Mollusca	Gastropoda	Trochida	Trochidae
Glycera	Mobile	II	II	Peu fragile	Meuble	0	MG	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Glyceridae
Eusyllis assimilis			II						Epifaune				
Glycera alba	Mobile	II	II	Peu fragile	Meuble	0	PM	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Glyceridae
Eusyllis blomstrandi			II						Epifaune				
Glycera celtica	Mobile	II	II	Peu fragile	Meuble	0	MG	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Glyceridae
Euthalenessa oculata			I						Endofaune				
Glycera fallax	Mobile	II	II	Peu fragile	Meuble	0	MG	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Glyceridae
Glycera lapidum	Mobile	II	II	Peu fragile	Meuble	0	PM	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Glyceridae
Glycera tridactyla	Mobile	II	II	Peu fragile	Meuble	0	PM	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Glyceridae
Glycera unicornis	Mobile	II	II	Peu fragile	Meuble	0	MG	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Glyceridae
Glycinde nordmanni	Mobile	II	II	Peu fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Goniadidae
Facelina bostoniensis			NA						Epifaune				
Glycymeris glycymeris	Peu mobile	I	III	Pas fragile	Meuble	0	PM	Suspensivore	Endofaune	Mollusca	Bivalvia	Arcida	Glycymerididae
Facelinidae			NA						Epifaune				
Gnathia	Mobile	I	I	Peu fragile	Dur	0	TP	Predateur	Interstice	Arthropoda	Malacostraca	Isopoda	Gnathiidae
Fimbriosthenelais zetlandica			II						Epifaune				
Gnathia oxyuraea	Mobile	I	I	Peu fragile	Indifferent	0	TP	Predateur	Interstice	Arthropoda	Malacostraca	Isopoda	Gnathiidae
Gnathia vorax	Mobile	I	I	Peu fragile	Dur	0	TP	Predateur	Interstice	Arthropoda	Malacostraca	Isopoda	Gnathiidae
Flabelligeridae			NA						Endofaune				
Gnathiidae	Mobile	I	I	Peu fragile	Indifferent	0	TP	Predateur	Interstice	Arthropoda	Malacostraca	Isopoda	Gnathiidae
Flustra foliacea			NA						Epifaune				
Gobiidae	Mobile	NA	NA	Peu fragile	Indifferent	0	M	Predateur	Epifaune	Chordata	Actinopteri	Gobiiformes	Gobiidae
Gobius	Mobile	NA	NA	Peu fragile	Indifferent	0	M	Predateur	Epifaune	Chordata	Actinopteri	Gobiiformes	Gobiidae
Gaidropsarus			NA						Interstice				
Gobius niger	Mobile	NA	NA	Peu fragile	Meuble	0	M	Predateur	Epifaune	Chordata	Actinopteri	Gobiiformes	Gobiidae
Golfingia	Peu mobile	I	I	Tres fragile	Meuble	0	M	Detritivore	Endofaune	Sipuncula	Sipunculidea	Golfingiida	Golfingiidae
Golfingia (Golfingia) elongata	Peu mobile	I	II	Tres fragile	Meuble	0	M	Detritivore	Endofaune	Sipuncula	Sipunculidea	Golfingiida	Golfingiidae
Galathea nexa			I						Epifaune				
